amount,location,device,time,is_fraud
45.76,Sydney,Desktop,22,0
288.01,New York,Unknown,21,1
23.64,New York,Desktop,6,0
22.93,Sydney,Desktop,5,0
16.8,Dubai,Tablet,18,0
14.41,Dubai,Unknown,6,0
39.59,Toronto,Tablet,18,0
11.55,Mumbai,Unknown,14,0
208.91,Paris,Tablet,15,0
86.51,Tokyo,Mobile,0,0
68.31,Sydney,Tablet,2,0
66.65,Sydney,Mobile,0,0
57.75,New York,Mobile,1,0
16.58,New York,Desktop,3,0
32.86,Tokyo,Mobile,19,0
53.69,London,Unknown,13,1
34.57,Tokyo,Mobile,0,0
13.02,London,Unknown,9,0
368.84,Toronto,Unknown,1,1
20.24,Paris,Tablet,10,0
807.5,New York,Tablet,9,0
21.65,Toronto,Desktop,6,0
47.91,New York,Desktop,13,0
81.0,Paris,Mobile,16,0
553.76,Tokyo,Mobile,1,1
8.35,Toronto,Desktop,2,0
55.2,New York,Desktop,4,0
13.71,Toronto,Desktop,12,0
183.55,Toronto,Tablet,18,1
44.05,Toronto,Unknown,8,0
42.95,Mumbai,Tablet,12,0
168.6,New York,Mobile,8,0
345.72,Dubai,Desktop,15,0
4.13,Dubai,Mobile,12,0
59.32,Paris,Mobile,16,0
53.62,London,Unknown,22,0
133.61,Dubai,Unknown,8,0
64.31,Paris,Tablet,23,0
50.61,Tokyo,Mobile,8,0
244.61,Dubai,Tablet,10,0
150.97,Sydney,Desktop,2,0
92.47,Toronto,Tablet,21,0
82.11,Tokyo,Desktop,18,0
137.16,Mumbai,Unknown,5,0
85.38,London,Mobile,8,0
55.8,Paris,Mobile,4,0
78.82,Paris,Mobile,6,0
62.37,Tokyo,Unknown,10,0
133.06,Sydney,Desktop,16,0
16.06,Sydney,Unknown,9,0
5.25,Dubai,Tablet,7,0
15.5,Paris,Mobile,22,0
34.51,Toronto,Unknown,15,0
3.07,New York,Mobile,11,0
35.52,Paris,Mobile,0,0
1178.83,Tokyo,Unknown,2,1
200.11,Toronto,Desktop,23,0
13.54,Paris,Tablet,3,0
111.37,Paris,Tablet,2,0
66.59,Dubai,Desktop,15,0
33.86,London,Unknown,2,0
37.68,Dubai,Desktop,21,0
24.92,Toronto,Desktop,12,0
62.0,Mumbai,Unknown,23,0
256.17,Tokyo,Tablet,6,0
28.61,New York,Tablet,12,0
53.21,Paris,Unknown,2,0
28.08,Dubai,Mobile,16,0
16.99,London,Mobile,23,0
12.68,Paris,Desktop,1,0
10.08,London,Unknown,22,0
5.29,London,Desktop,19,0
16.86,London,Tablet,3,0
2.01,New York,Mobile,23,0
6.92,Sydney,Unknown,13,0
163.88,Toronto,Desktop,2,0
93.13,Tokyo,Unknown,20,0
52.26,Paris,Tablet,0,0
8.66,Paris,Tablet,17,0
6.65,New York,Desktop,9,0
39.67,Dubai,Mobile,8,0
17.34,New York,Desktop,9,0
165.83,Sydney,Unknown,16,0
227.81,Tokyo,Desktop,2,0
48.85,Tokyo,Unknown,19,0
78.22,Dubai,Mobile,8,0
45.33,Toronto,Tablet,8,0
87.42,Paris,Desktop,20,0
8.44,London,Desktop,5,0
44.05,Toronto,Desktop,9,0
10.03,Tokyo,Mobile,6,0
6.53,Sydney,Desktop,4,0
32.26,Dubai,Unknown,6,0
32.52,Sydney,Desktop,19,0
84.98,New York,Unknown,13,0
18.46,London,Tablet,17,0
142.5,Toronto,Mobile,13,0
49.61,Mumbai,Desktop,18,0
92.29,Paris,Desktop,16,0
38.04,Dubai,Tablet,18,0
46.64,Toronto,Tablet,20,0
34.71,Mumbai,Unknown,5,0
136.21,Dubai,Tablet,21,0
102.21,Tokyo,Unknown,15,1
56.45,Dubai,Desktop,20,1
58.35,Sydney,Unknown,3,0
94.06,Mumbai,Mobile,16,0
59.48,New York,Tablet,16,0
58.16,New York,Desktop,18,1
7.53,Sydney,Tablet,14,0
58.44,Dubai,Unknown,20,0
4.61,London,Mobile,14,0
188.95,Sydney,Tablet,4,1
22.6,Toronto,Tablet,18,0
1388.16,Mumbai,Mobile,2,1
4.79,Mumbai,Mobile,16,0
32.39,Sydney,Tablet,15,0
25.96,Dubai,Unknown,0,0
56.46,Mumbai,Unknown,13,0
36.88,Tokyo,Mobile,12,0
46.12,London,Tablet,8,0
108.34,Tokyo,Mobile,19,0
26.97,Paris,Desktop,19,0
98.92,New York,Desktop,15,0
27.41,Sydney,Tablet,11,0
37.17,Toronto,Desktop,0,0
72.62,Tokyo,Unknown,16,0
136.71,Dubai,Tablet,7,0
41.0,Tokyo,Mobile,20,0
29.95,Tokyo,Mobile,12,0
100.07,Dubai,Desktop,14,0
2.31,London,Mobile,21,0
1003.18,London,Mobile,4,1
9.46,New York,Mobile,19,0
65.26,Paris,Mobile,13,0
73.53,Dubai,Tablet,10,0
16.27,Sydney,Unknown,19,0
29.79,Sydney,Tablet,19,0
50.9,London,Mobile,19,0
8.31,Sydney,Desktop,16,0
79.59,Tokyo,Tablet,5,0
1959.95,Toronto,Mobile,3,1
3.43,Paris,Mobile,10,0
15.17,Sydney,Mobile,4,0
7.4,Toronto,Desktop,23,0
208.09,Tokyo,Tablet,20,0
18.74,Tokyo,Mobile,14,0
21.93,Paris,Unknown,6,0
27.36,Mumbai,Unknown,22,0
947.1,Toronto,Unknown,8,1
93.18,Sydney,Mobile,16,0
102.56,Mumbai,Unknown,20,0
22.82,Toronto,Tablet,9,0
67.82,New York,Unknown,0,0
6.02,Paris,Tablet,1,0
47.45,Paris,Tablet,16,0
19.12,Mumbai,Desktop,14,0
26.96,Toronto,Tablet,14,0
18.63,Sydney,Mobile,2,0
123.02,Tokyo,Unknown,23,0
2.83,Paris,Desktop,18,0
51.17,Dubai,Mobile,19,1
24.26,Tokyo,Unknown,19,0
53.32,Toronto,Tablet,20,0
48.33,Mumbai,Mobile,1,0
124.42,Mumbai,Desktop,21,0
297.28,Dubai,Unknown,22,0
23.07,Mumbai,Unknown,12,0
39.36,Dubai,Tablet,0,0
48.09,Sydney,Tablet,12,0
203.39,New York,Unknown,23,0
16.35,Sydney,Desktop,8,0
51.16,Toronto,Mobile,6,0
52.32,Tokyo,Unknown,12,0
15.64,Tokyo,Unknown,0,0
52.63,Paris,Desktop,20,0
7.04,New York,Mobile,8,0
27.64,Tokyo,Tablet,12,0
16.76,Sydney,Mobile,9,0
62.6,Sydney,Unknown,17,0
17.67,London,Tablet,13,0
42.86,Mumbai,Unknown,17,0
14.24,Mumbai,Mobile,16,0
99.77,Sydney,Desktop,7,0
83.52,Mumbai,Desktop,2,0
109.68,London,Mobile,4,0
113.26,Sydney,Tablet,14,0
42.98,Toronto,Tablet,3,0
31.2,Dubai,Tablet,23,0
2294.43,London,Unknown,14,1
121.12,Dubai,Tablet,3,1
2.73,London,Mobile,15,0
22.29,Tokyo,Tablet,17,0
31.81,Dubai,Tablet,4,0
41.9,London,Tablet,9,0
23.74,Mumbai,Unknown,10,0
130.81,London,Desktop,2,0
18.8,Mumbai,Mobile,6,0
17.04,Mumbai,Unknown,15,0
15.43,Mumbai,Unknown,16,0
52.87,London,Mobile,12,0
201.59,Mumbai,Unknown,18,0
95.65,Mumbai,Mobile,12,0
172.28,Paris,Mobile,3,1
30.77,Dubai,Desktop,17,0
41.96,Toronto,Mobile,3,0
68.28,Toronto,Mobile,17,0
177.54,Sydney,Tablet,12,0
56.66,London,Unknown,13,0
34.41,London,Unknown,17,0
56.28,Sydney,Desktop,8,0
9.53,Tokyo,Mobile,2,0
66.95,Sydney,Desktop,8,0
12.92,Tokyo,Tablet,11,0
89.47,London,Mobile,22,0
27.28,New York,Tablet,19,0
30.79,Dubai,Tablet,17,0
30.42,Mumbai,Tablet,16,0
134.65,Toronto,Tablet,8,0
26.57,Paris,Desktop,14,0
3.93,New York,Mobile,5,0
37.04,Dubai,Tablet,16,0
1505.77,Toronto,Unknown,5,1
11.62,Tokyo,Mobile,19,0
89.95,Sydney,Tablet,8,0
19.66,Sydney,Tablet,5,0
1230.35,Sydney,Tablet,1,1
53.98,Dubai,Unknown,17,0
8.26,Tokyo,Tablet,3,0
30.04,Paris,Tablet,22,0
71.56,Mumbai,Desktop,13,0
46.03,Mumbai,Desktop,11,0
17.77,Sydney,Desktop,22,0
34.57,Paris,Tablet,8,0
38.04,Toronto,Tablet,12,0
22.53,Tokyo,Unknown,4,0
10.97,Paris,Unknown,5,0
19.88,Paris,Mobile,23,0
396.26,New York,Desktop,3,1
30.91,London,Desktop,0,0
40.7,Mumbai,Unknown,19,0
93.92,Dubai,Tablet,16,0
43.21,New York,Tablet,9,0
117.16,New York,Desktop,9,0
74.95,Mumbai,Tablet,7,0
146.68,Tokyo,Desktop,2,0
38.34,London,Desktop,13,0
50.44,Toronto,Unknown,18,0
18.14,Toronto,Desktop,7,0
14.88,New York,Tablet,21,0
206.86,London,Tablet,7,0
8.64,Tokyo,Tablet,0,0
29.84,London,Tablet,5,0
153.04,London,Mobile,5,0
25.25,Toronto,Desktop,13,0
24.31,New York,Unknown,19,0
4.79,Mumbai,Mobile,3,0
29.23,London,Unknown,13,0
16.21,Toronto,Unknown,10,0
9.02,New York,Unknown,19,0
69.15,Tokyo,Desktop,12,0
29.29,Paris,Unknown,17,0
174.89,Dubai,Desktop,4,0
6.04,Mumbai,Tablet,10,0
4.54,Tokyo,Unknown,12,0
101.55,Toronto,Mobile,3,0
14.78,Mumbai,Mobile,19,0
26.25,Dubai,Unknown,0,0
11.88,New York,Tablet,12,0
3.8,Toronto,Tablet,10,0
34.27,Toronto,Unknown,1,0
62.65,London,Desktop,7,1
3.68,Mumbai,Mobile,17,0
28.55,Dubai,Mobile,22,0
21.74,Tokyo,Tablet,5,0
50.67,London,Tablet,20,0
124.44,Paris,Desktop,10,0
9.58,Mumbai,Desktop,20,0
22.21,Tokyo,Mobile,20,0
14.06,New York,Desktop,21,0
70.37,Sydney,Desktop,11,0
80.22,Paris,Desktop,20,1
4.92,Tokyo,Tablet,21,0
13.67,Toronto,Desktop,6,0
21.16,London,Unknown,11,0
43.5,Tokyo,Unknown,11,0
991.16,London,Unknown,8,1
78.03,Sydney,Mobile,20,0
1847.7,London,Unknown,21,1
1115.42,Sydney,Unknown,19,1
141.04,Mumbai,Desktop,21,0
29.15,Sydney,Unknown,20,0
89.25,Paris,Tablet,14,0
271.14,Tokyo,Unknown,3,1
69.57,Sydney,Desktop,16,0
70.83,Paris,Tablet,21,0
96.72,Tokyo,Unknown,19,0
110.54,Toronto,Tablet,3,1
14.78,Dubai,Desktop,5,0
11.43,Dubai,Unknown,14,0
55.69,Tokyo,Unknown,22,0
10.32,Dubai,Desktop,7,0
31.93,New York,Desktop,14,0
28.72,London,Unknown,10,0
29.27,Tokyo,Desktop,15,0
49.07,Toronto,Desktop,3,0
57.94,Dubai,Mobile,0,0
133.33,Dubai,Unknown,11,0
7.52,Paris,Desktop,1,0
39.96,Sydney,Desktop,6,0
8.58,New York,Tablet,7,0
20.66,Mumbai,Tablet,5,0
46.51,Toronto,Mobile,20,0
56.91,Toronto,Mobile,17,0
166.33,Mumbai,Desktop,4,1
27.28,Tokyo,Desktop,1,0
77.68,Paris,Tablet,9,0
35.72,Dubai,Tablet,12,0
27.15,Toronto,Mobile,20,0
1300.53,New York,Desktop,19,1
10.27,Paris,Desktop,18,0
7.81,Toronto,Desktop,14,0
292.09,New York,Mobile,2,1
2.66,Dubai,Unknown,11,0
21.26,Tokyo,Mobile,2,0
13.3,London,Desktop,10,0
57.65,Dubai,Tablet,17,0
3.29,Paris,Mobile,23,0
42.13,Tokyo,Tablet,18,0
1282.63,Paris,Unknown,6,1
1150.79,London,Unknown,19,1
31.43,London,Tablet,15,0
29.71,Sydney,Unknown,1,0
567.77,Dubai,Unknown,2,1
338.5,New York,Unknown,3,1
61.57,Paris,Desktop,6,0
76.42,Sydney,Mobile,11,0
59.85,Mumbai,Unknown,18,0
10.25,Tokyo,Unknown,6,0
33.4,Dubai,Mobile,16,0
183.36,Toronto,Unknown,4,1
104.34,New York,Unknown,9,0
76.49,New York,Unknown,16,0
11.74,Tokyo,Tablet,1,0
43.48,New York,Tablet,15,0
24.19,Dubai,Tablet,13,0
121.48,Mumbai,Mobile,18,0
84.65,Toronto,Unknown,19,0
59.73,Mumbai,Mobile,8,0
16.35,Tokyo,Desktop,4,0
38.45,Toronto,Tablet,17,0
27.55,Sydney,Tablet,15,0
75.13,Toronto,Unknown,21,1
52.38,New York,Tablet,14,0
579.56,Toronto,Mobile,13,1
26.72,New York,Unknown,18,0
278.31,Tokyo,Desktop,13,0
30.46,Tokyo,Mobile,23,0
436.32,New York,Desktop,4,1
58.42,Tokyo,Unknown,14,1
52.92,New York,Mobile,12,0
4.75,Dubai,Mobile,12,0
13.77,Toronto,Desktop,11,0
58.97,Mumbai,Desktop,5,0
139.99,Dubai,Mobile,11,0
198.99,Toronto,Unknown,20,0
53.08,New York,Mobile,0,0
9.57,New York,Desktop,23,0
40.69,Paris,Tablet,18,0
15.94,Sydney,Mobile,17,0
104.41,Paris,Unknown,4,0
24.23,New York,Tablet,14,0
9.56,London,Unknown,20,0
59.49,Sydney,Mobile,2,0
66.69,Mumbai,Unknown,22,0
93.91,Paris,Mobile,12,0
25.84,Tokyo,Tablet,5,0
8.94,Mumbai,Desktop,7,0
734.82,Tokyo,Tablet,21,1
13.54,New York,Desktop,3,0
16.42,Sydney,Tablet,23,0
219.0,New York,Unknown,16,0
17.39,Paris,Tablet,1,0
125.31,Paris,Unknown,2,0
19.02,New York,Desktop,21,0
387.69,New York,Mobile,19,1
785.96,Sydney,Mobile,22,1
31.76,London,Unknown,14,0
500.9,Dubai,Unknown,4,1
19.87,Mumbai,Unknown,14,0
1796.74,London,Unknown,10,1
17.74,Sydney,Desktop,16,0
16.97,New York,Unknown,1,0
10.16,Toronto,Tablet,19,0
6.49,Dubai,Tablet,19,0
169.7,Tokyo,Unknown,12,0
33.91,London,Desktop,18,0
8.24,Dubai,Desktop,4,0
73.84,Dubai,Mobile,23,0
813.41,Dubai,Mobile,2,1
52.5,New York,Unknown,17,0
103.12,Toronto,Unknown,11,1
12.64,Mumbai,Tablet,5,0
42.28,Toronto,Desktop,11,0
50.73,Toronto,Tablet,21,0
363.17,Tokyo,Mobile,17,0
11.68,Sydney,Desktop,6,0
96.01,Sydney,Desktop,3,0
10.23,Mumbai,Tablet,16,0
7.2,Dubai,Tablet,23,0
74.33,Tokyo,Tablet,16,0
36.93,London,Mobile,7,0
55.71,Mumbai,Mobile,10,0
35.89,London,Unknown,9,0
8.93,Tokyo,Tablet,22,0
98.91,Dubai,Desktop,4,0
550.88,Tokyo,Unknown,1,1
17.04,New York,Unknown,5,0
30.21,Dubai,Unknown,7,0
81.61,Sydney,Unknown,15,0
76.35,Toronto,Mobile,14,0
14.44,Tokyo,Mobile,14,0
10.28,Sydney,Desktop,6,0
84.22,Tokyo,Desktop,11,0
181.67,Toronto,Unknown,1,1
9.15,Dubai,Tablet,22,0
20.69,Mumbai,Desktop,19,0
40.53,Tokyo,Desktop,17,0
5.01,Sydney,Desktop,2,0
381.13,New York,Mobile,15,0
15.67,Paris,Tablet,11,0
24.98,Toronto,Desktop,23,0
7.14,New York,Tablet,10,0
164.52,Mumbai,Tablet,15,0
10.69,Sydney,Tablet,10,0
84.45,Sydney,Desktop,8,0
78.3,Paris,Desktop,22,0
244.53,Toronto,Tablet,11,0
37.83,Tokyo,Desktop,7,0
761.84,Paris,Tablet,19,1
10.77,Tokyo,Mobile,19,0
19.23,Sydney,Desktop,9,0
3.89,Toronto,Mobile,15,0
14.55,New York,Mobile,9,0
55.05,Tokyo,Desktop,2,0
44.73,Toronto,Mobile,20,0
67.25,Mumbai,Mobile,19,0
25.12,New York,Desktop,3,0
53.38,Tokyo,Desktop,7,0
17.19,Toronto,Desktop,0,0
52.2,Toronto,Tablet,5,0
572.59,Dubai,Unknown,19,1
91.63,London,Desktop,23,0
11.05,Paris,Desktop,0,0
63.66,Paris,Unknown,7,0
130.11,Tokyo,Mobile,3,0
12.06,Tokyo,Tablet,9,0
8.46,Paris,Unknown,5,0
73.3,New York,Mobile,9,0
193.37,London,Unknown,19,1
10.48,Dubai,Desktop,8,0
235.99,Paris,Unknown,6,1
589.25,London,Unknown,20,1
28.51,New York,Tablet,23,0
11.49,Paris,Unknown,8,0
168.8,Dubai,Tablet,21,0
8.48,Sydney,Tablet,2,0
28.78,Dubai,Unknown,18,0
63.29,Tokyo,Mobile,1,0
28.28,New York,Desktop,18,0
16.84,Tokyo,Unknown,3,0
28.27,New York,Desktop,17,0
120.97,London,Mobile,0,1
35.3,Mumbai,Desktop,23,0
129.28,Paris,Mobile,12,0
13.99,Tokyo,Mobile,11,0
6.88,London,Mobile,8,0
32.12,London,Tablet,11,0
35.29,New York,Tablet,10,0
25.8,Sydney,Desktop,13,0
27.61,Sydney,Mobile,0,0
31.63,London,Unknown,11,0
701.85,London,Unknown,2,1
83.4,Paris,Desktop,14,0
104.18,Tokyo,Unknown,4,1
71.27,London,Tablet,0,0
2.82,Sydney,Unknown,6,0
29.6,Paris,Mobile,5,0
10.21,Toronto,Mobile,20,0
10.6,Paris,Desktop,0,0
12.47,New York,Tablet,17,0
14.44,Mumbai,Mobile,11,0
170.06,Paris,Unknown,21,1
98.77,Sydney,Mobile,3,1
1041.07,New York,Tablet,0,1
12.05,New York,Tablet,17,0
552.5,Toronto,Tablet,18,1
410.46,Toronto,Unknown,5,1
13.48,Paris,Unknown,0,0
41.76,Mumbai,Mobile,8,0
97.53,Toronto,Desktop,17,0
36.77,Paris,Mobile,21,0
4.64,Dubai,Tablet,17,0
19.89,Mumbai,Tablet,15,0
29.58,Sydney,Tablet,15,0
42.24,Mumbai,Tablet,21,0
41.62,Tokyo,Desktop,13,0
75.37,Toronto,Mobile,22,0
27.45,Toronto,Unknown,22,0
32.47,Toronto,Desktop,18,0
53.54,Dubai,Tablet,9,0
73.57,Tokyo,Desktop,14,0
28.64,Mumbai,Mobile,10,0
22.32,Paris,Tablet,2,0
47.48,New York,Mobile,15,0
143.95,Toronto,Unknown,22,0
1435.99,Tokyo,Tablet,11,1
1473.37,Paris,Desktop,7,1
27.35,Mumbai,Unknown,5,0
45.0,Toronto,Tablet,8,0
216.49,Toronto,Tablet,23,0
282.24,Mumbai,Mobile,0,0
50.08,Tokyo,Mobile,17,0
170.3,Sydney,Desktop,2,1
24.24,London,Mobile,1,0
103.53,Paris,Desktop,6,0
53.29,Dubai,Desktop,21,0
13.01,Sydney,Tablet,12,0
17.19,London,Desktop,7,0
1130.22,Paris,Tablet,2,1
238.2,Toronto,Unknown,10,1
34.59,Tokyo,Unknown,9,0
46.27,Mumbai,Mobile,1,0
19.89,Toronto,Tablet,1,0
9.14,Dubai,Desktop,0,0
21.77,Dubai,Desktop,21,0
29.73,London,Mobile,11,0
25.31,Toronto,Desktop,22,0
72.12,Dubai,Unknown,17,0
44.08,Sydney,Mobile,11,0
10.82,Sydney,Tablet,10,0
45.87,London,Mobile,3,0
45.43,Toronto,Mobile,5,0
54.67,Dubai,Unknown,9,0
46.75,Sydney,Desktop,6,0
39.41,Sydney,Unknown,2,0
35.69,Toronto,Mobile,13,0
17.84,Paris,Unknown,17,0
112.71,New York,Mobile,1,0
6.96,Tokyo,Unknown,6,0
60.42,Sydney,Unknown,6,0
21.84,Toronto,Unknown,21,0
4.54,New York,Tablet,0,0
19.41,London,Desktop,10,0
48.68,New York,Desktop,5,0
17.67,London,Desktop,22,0
408.49,London,Desktop,8,0
36.73,New York,Unknown,2,0
20.72,Sydney,Unknown,13,0
35.4,London,Mobile,4,0
6.11,Sydney,Tablet,0,0
180.78,Dubai,Desktop,16,0
61.88,Toronto,Mobile,4,0
149.29,Dubai,Unknown,0,0
72.63,Dubai,Desktop,21,0
9.94,Sydney,Tablet,19,0
21.71,Mumbai,Desktop,4,0
13.33,Paris,Mobile,7,0
50.29,Sydney,Tablet,5,0
10.07,Sydney,Mobile,23,0
81.95,Dubai,Mobile,22,1
13.01,Toronto,Tablet,23,0
53.83,Paris,Tablet,1,1
95.24,Sydney,Tablet,18,0
23.09,London,Tablet,1,0
74.74,London,Tablet,23,0
85.44,Toronto,Unknown,10,0
49.83,Sydney,Tablet,11,0
22.17,Toronto,Desktop,20,0
13.52,Toronto,Tablet,22,0
10.76,New York,Desktop,17,0
83.75,Mumbai,Mobile,0,0
60.19,Tokyo,Tablet,16,0
9.14,Tokyo,Tablet,7,0
16.33,Mumbai,Tablet,1,0
64.65,New York,Tablet,9,0
28.12,Paris,Mobile,14,0
517.23,Sydney,Unknown,6,1
44.26,Sydney,Mobile,16,0
26.55,Tokyo,Tablet,9,0
8.35,Paris,Desktop,23,0
280.61,Toronto,Tablet,2,0
17.22,New York,Mobile,2,0
190.94,New York,Mobile,3,1
27.08,Paris,Desktop,17,0
21.99,Mumbai,Tablet,10,0
87.88,London,Tablet,8,0
40.22,Mumbai,Desktop,1,0
35.13,London,Unknown,17,0
8.83,Dubai,Unknown,17,0
45.65,Tokyo,Desktop,3,0
10.51,Paris,Tablet,11,0
48.03,Mumbai,Desktop,21,0
32.52,Sydney,Mobile,13,0
81.23,Mumbai,Tablet,17,0
334.5,London,Mobile,14,0
25.43,New York,Tablet,20,0
53.08,Toronto,Unknown,13,1
89.42,London,Tablet,7,1
14.82,Sydney,Tablet,12,0
13.01,Toronto,Tablet,15,0
42.22,Mumbai,Unknown,6,0
281.37,Mumbai,Desktop,5,0
129.86,Toronto,Tablet,18,0
76.95,Tokyo,Mobile,12,0
55.2,Mumbai,Desktop,17,1
24.23,Mumbai,Tablet,11,0
35.58,Tokyo,Unknown,10,0
1038.1,London,Mobile,3,1
30.79,Toronto,Unknown,6,0
17.4,Toronto,Tablet,3,0
60.98,London,Unknown,21,1
13.12,London,Tablet,23,0
22.32,Toronto,Unknown,10,0
120.39,New York,Unknown,21,0
13.71,Mumbai,Unknown,12,0
17.09,Paris,Mobile,20,0
269.62,London,Tablet,7,0
21.57,Dubai,Unknown,8,0
73.85,London,Mobile,14,0
139.36,Dubai,Mobile,20,0
46.99,Paris,Desktop,7,0
21.06,Mumbai,Unknown,23,0
100.42,Dubai,Tablet,18,0
10.95,London,Unknown,11,0
134.77,Tokyo,Desktop,0,0
3.15,Toronto,Tablet,22,0
14.5,Sydney,Mobile,12,0
76.56,Mumbai,Unknown,12,0
2.26,Mumbai,Desktop,8,0
36.93,Paris,Desktop,2,0
106.73,Mumbai,Mobile,10,0
277.75,Toronto,Tablet,23,1
46.16,Dubai,Mobile,17,0
18.8,Dubai,Tablet,8,0
99.93,London,Desktop,7,0
37.36,Sydney,Unknown,9,0
30.61,Toronto,Tablet,22,0
12.87,Mumbai,Unknown,23,0
19.93,Dubai,Tablet,19,0
19.34,Mumbai,Unknown,10,0
11.13,Mumbai,Tablet,7,0
136.23,Tokyo,Mobile,12,0
26.7,Paris,Unknown,11,0
21.81,New York,Desktop,1,0
25.43,Tokyo,Mobile,3,0
70.3,Mumbai,Tablet,11,0
11.08,Mumbai,Desktop,0,0
5.01,New York,Unknown,23,0
48.93,Dubai,Unknown,15,0
361.52,Paris,Desktop,23,1
12.71,Toronto,Desktop,4,0
10.25,Sydney,Desktop,9,0
889.83,Paris,Tablet,1,1
99.03,New York,Mobile,14,0
63.71,Sydney,Tablet,14,0
43.45,Tokyo,Unknown,23,0
148.16,Dubai,Mobile,7,0
64.67,Paris,Tablet,19,0
25.92,New York,Desktop,9,0
26.13,Tokyo,Desktop,17,0
1.17,Paris,Unknown,10,0
25.14,Toronto,Tablet,22,0
13.44,New York,Unknown,9,0
12.66,London,Unknown,23,0
163.61,Dubai,Mobile,4,0
7.81,London,Tablet,18,0
182.86,London,Unknown,17,0
8.28,Dubai,Mobile,16,0
85.59,Toronto,Unknown,1,0
26.52,London,Mobile,0,0
26.14,Dubai,Unknown,11,0
67.12,Mumbai,Tablet,14,0
10.74,Dubai,Desktop,23,0
15.85,Tokyo,Desktop,8,0
41.45,New York,Desktop,9,0
19.62,Mumbai,Desktop,10,0
133.44,London,Mobile,17,0
15.33,London,Tablet,20,0
128.09,Sydney,Mobile,11,0
37.33,Tokyo,Desktop,16,0
538.99,Tokyo,Tablet,4,1
7.47,London,Mobile,3,0
154.5,Mumbai,Desktop,21,0
20.74,Sydney,Tablet,19,0
56.81,London,Unknown,12,1
20.3,Mumbai,Tablet,11,0
131.72,Tokyo,Desktop,2,0
12.89,Tokyo,Unknown,20,0
36.49,Sydney,Desktop,5,0
10.53,Paris,Mobile,7,0
93.26,Paris,Desktop,20,0
13.93,Sydney,Tablet,16,0
93.16,Tokyo,Unknown,8,0
40.53,Mumbai,Desktop,13,0
23.61,Paris,Unknown,20,0
6.12,Paris,Tablet,18,0
290.61,Paris,Mobile,8,0
16.27,Paris,Tablet,23,0
5.79,New York,Unknown,22,0
16.34,Paris,Tablet,8,0
13.96,London,Tablet,16,0
8.25,London,Tablet,19,0
27.44,Dubai,Unknown,3,0
308.98,Sydney,Mobile,8,0
6.91,Dubai,Mobile,5,0
